address,city,id,name,state,type,x,y,zip,first_appearance,final_appearance,block_fips,tract_fips
723-725 Ave. H,Fort Madison,858.0,Lost Duck Brewery,IA,BrewPub,-91.3101609967,40.6300939959,52627,2006,2015,191114902002078,19111490200
723-725 Avenue H,Fort Madison,,Lost Duck Brewery,IA,BrewPub,-91.3107626,40.6301768,52627,2005,2005,191114902002078,19111490200
604 Neches Street ,Austin,,Lovejoy's Tap Room & Brewery ,TX,BrewPub,-97.7382482,30.2668326,78701,2005,2005,484530011001096,48453001100
604 Neches St. ,Austin,860.0,Lovejoy's Tap Room & Brewery ,TX,BrewPub,-97.738429753,30.2670119124,78701,2006,2013,484530011001096,48453001100
915 SE Hawthorne Boulevard ,Portland,,Lucky Labrador Brewpub,OR,BrewPub,-122.6562754,45.5124139,97214,2005,2005,410510011011184,41051001101
915 SE Hawthorne Blvd. ,Portland,862.0,Lucky Labrador Brewpub,OR,BrewPub,-122.656086797,45.5122594295,97214,2006,2015,410510011011184,41051001101
54 E. St. Charles Road ,Villa Park,,Lunar Brewing ,IL,BrewPub,-87.9766096,41.8899874,60181,2005,2005,170438431003012,17043843100
54 E. St. Charles Rd. ,Villa Park,864.0,Lunar Brewing ,IL,BrewPub,-87.9773513437,41.8898188638,60181,2006,2015,170438431003012,17043843100
621 21st St.,Lewiston,865.0,M.J. Barleyhoppers,ID,BrewPub,-117.001472842,46.4140806043,83501,2006,2015,160699603002052,16069960300
621 21st Street,Lewiston,,M.J. Barleyhoppers,ID,BrewPub,-117.0007671,46.414349,83501,2005,2005,160699603002052,16069960300
17825 NE 65th St. ,Redmond,866.0,Mac & Jack's Brewery,WA,MicroBrewery,-122.102559669,47.6636409497,98052,2006,2015,530330323132043,53033032313
17825 NE 65th Street ,Redmond,,Mac & Jack's Brewery,WA,MicroBrewery,-122.1025491,47.6637249,98052,2005,2005,530330323132043,53033032313
161 East Front Street,Traverse City,,Mackinaw Brewing Co.,MI,BrewPub,-85.6212413,44.7642992,49684,2005,2005,260555512001011,26055551200
161 E. Front St.,Traverse City,867.0,Mackinaw Brewing Co.,MI,BrewPub,-85.6220959511,44.7643691588,49684,2006,2015,260555512001011,26055551200
114 N. Main St.,Auburn  ,869.0,Mad Anthony Tap Room,IN,BrewPub,-85.0556177217,41.3670208783,46706,2006,2015,180330205002062,18033020500
114 North Main St.,Auburn  ,,Mad Anthony Tap Room,IN,BrewPub,-85.0555942,41.3672741,46706,2005,2005,180330205002062,18033020500
195 Taylor Way ,Arcata,,Mad River Brewing Co.,CA,MicroBrewery,-123.99379,40.8787166,95521,2005,2010,060230103003049,06023010300
101 Taylor Way ,Blue Lake,774.0,Mad River Brewing Co.,CA,MicroBrewery,-123.9919289,40.8786025,95525,2011,2015,060230103003049,06023010300
428 Main Street,Bennington,,Madison Brewing Co.,VT,BrewPub,-73.196419,42.8783839,5201,2005,2005,500039712006004,50003971200
428 Main St.,Bennington,873.0,Madison Brewing Co.,VT,BrewPub,-73.1964009401,42.8783223801,5201,2006,2015,500039712006004,50003971200
5 Bartlett Bay Road ,South Burlington,,Magic Hat Brewing Company ,VT,MicroBrewery,-73.2131557,44.4284066,5403,2005,2005,500070033042021,50007003304
5 Bartlett Bay Rd. ,South Burlington,874.0,Magic Hat Brewing Company ,VT,MicroBrewery,-73.2117991326,44.4285910509,5403,2006,2015,500070033042021,50007003304
1398 Haight St. ,San Francisco,875.0,Magnolia Pub & Brewery ,CA,BrewPub,-122.445060879,37.7702714772,94117,2006,2015,060750166001003,06075016600
1398 Haight Street ,San Francisco,,Magnolia Pub & Brewery ,CA,BrewPub,-122.4451741,37.7703879,94117,2005,2005,060750166001003,06075016600
4120 Main Street ,Manayunk,,Manayunk Brewery & Restaurant ,PA,BrewPub,-75.2193379,40.0226381,19127,2005,2005,421010210004021,42101021000
4120 Main St. ,Philadelphia,884.0,Manayunk Brewery & Restaurant ,PA,BrewPub,-75.2188242975,40.0221259007,19127,2006,2015,421010210004021,42101021000
3 N. Main St.,Wilmington,887.0,Maple Leaf Malt & Brewing,VT,BrewPub,-72.8697346779,42.869058438,5363,2006,2009,500259680002008,50025968000
3 N. Main Street,Wilmington,,Maple Leaf Malt & Brewing,VT,BrewPub,-72.8706801,42.8684739,5363,2005,2005,500259680002008,50025968000
167 Front Street,Marietta,,Marietta Brewing Co.,OH,BrewPub,-81.4536359,39.4118563,45750,2005,2005,391670205002018,39167020500
