"","tractfips","cnt"
"828","16001010321",1
"829","16005000800",1
"830","16013960200",2
"831","16013960300",1
"832","16017950200",1
"833","16017950300",1
"834","16019971200",1
"835","16027020100",1
"836","16055000500",1
"837","16055000601",1
"838","16055000900",1
"839","16055001300",1
"840","16057005100",1
"841","16059970200",1
"842","16069960300",1
"843","16079960400",2
"844","16081960100",2
"845","16085970200",1
"846","16085970300",2
"847","17001000700",1
"848","17019001302",1
"849","17019010601",1
"850","17019011000",3
"851","17027900300",1
"852","17031030900",1
"853","17031031000",1
"854","17031040100",1
"855","17031050100",2
"856","17031050200",1
"857","17031063200",1
"858","17031070400",1
"859","17031071000",1
"860","17031081500",1
"861","17031081600",1
"862","17031140500",1
"863","17031160200",1
"864","17031210100",1
"865","17031221300",1
"866","17031240500",1
"867","17031241400",1
"868","17031241500",1
"869","17031280100",2
"870","17031491400",1
"871","17031720500",1
"872","17031770602",1
"873","17031770700",1
"874","17031801601",1
"875","17031802402",1
"876","17031803701",1
"877","17031804201",1
"878","17031804603",1
"879","17031809700",1
"880","17031820202",1
"881","17031820901",1
"882","17031824105",1
"883","17031824120",1
"884","17031828201",1
"885","17031829800",1
"886","17031830500",1
"887","17031832000",1
"888","17031832600",1
"889","17043840101",1
"890","17043841604",1
"891","17043843100",1
"892","17043844301",1
"893","17043844902",1
"894","17043845000",1
"895","17043846405",1
"896","17043846509",1
"897","17043846519",1
"898","17043846702",1
"899","17077010100",1
"900","17077010300",2
"901","17077010400",1
"902","17085020100",1
"903","17085020300",1
"904","17089850105",1
"905","17089850500",1
"906","17089852601",1
"907","17089853300",1
"908","17091012000",1
"909","17093890600",1
"910","17097861105",1
"911","17097863300",1
"912","17097863701",1
"913","17097864002",1
"914","17097864205",1
"915","17097864307",1
"916","17111870604",1
"917","17113000504",2
"918","17113001600",1
"919","17119400102",1
"920","17119403601",1
"921","17143000900",1
"922","17157950800",1
"923","17161022300",1
"924","17161022600",1
"925","17163503304",1
"926","17167001400",1
"927","17167002802",1
"928","17167003700",1
"929","17179020100",1
"930","17179020301",1
"931","17197880109",1
"932","17197880308",1
"933","17201000514",1
"934","17201000800",1
"935","17201001100",1
"936","17201003805",1
"937","18003002100",1
"938","18003003304",1
"939","18005010100",2
"940","18005011200",1
"941","18005011300",1
"942","18013974800",1
"943","18029080500",1
"944","18033020500",1
"945","18035002800",1
"946","18037953300",1
"947","18039000100",1
"948","18039002700",1
"949","18043070500",1
"950","18043070901",1
"951","18057110700",1
"952","18057110809",1
"953","18057111007",1
"954","18057111008",1
"955","18057111102",1
"956","18063210606",1
"957","18063210607",1
"958","18063210608",1
"959","18067001100",1
"960","18071967700",1
"961","18081610201",1
"962","18081610202",1
"963","18081610300",1
"964","18085961900",1
"965","18089010201",1
